operator,department,employee_profile,device_category,estimated_price_mad,budget_risk_score,risk_level,alert_flag,recommendation,real_price_range,real_price_label,predicted_price_range,predicted_price_label,prediction_confidence
Maroc Telecom,Finance,Usage standard,Milieu de gamme,2500,42.0,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9622
inwi,Finance,Usage intensif,Haut de gamme,4500,63.3,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.7111
Orange Maroc,Direction,Usage intensif,Haut de gamme,4500,60.8,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9798
Orange Maroc,Finance,Usage basique,Haut de gamme,4500,61.9,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9864
Maroc Telecom,Finance,Usage basique,Milieu de gamme,2500,41.2,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9902
Maroc Telecom,Support,Usage standard,Milieu de gamme,2500,39.6,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9978
Maroc Telecom,RH,Usage standard,Premium,7000,95.2,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9958
inwi,Support,Usage standard,Entrée de gamme,1200,25.3,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9862
Orange Maroc,IT,Usage intensif,Entrée de gamme,1200,24.7,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.6567
Orange Maroc,Commercial,Usage basique,Entrée de gamme,1200,17.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9995
Maroc Telecom,IT,Usage basique,Premium,7000,93.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9638
inwi,IT,Usage standard,Premium,7000,96.7,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9981
inwi,Direction,Usage intensif,Milieu de gamme,2500,41.5,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9955
Maroc Telecom,IT,Usage basique,Haut de gamme,4500,62.4,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.997
Maroc Telecom,Commercial,Usage intensif,Entrée de gamme,1200,23.2,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9959
Maroc Telecom,RH,Usage standard,Entrée de gamme,1200,18.7,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9981
Maroc Telecom,RH,Usage premium,Premium,7000,92.0,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9985
Orange Maroc,Support,Usage premium,Premium,7000,91.7,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9565
Maroc Telecom,IT,Usage standard,Milieu de gamme,2500,39.8,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9949
Maroc Telecom,Commercial,Usage basique,Milieu de gamme,2500,40.1,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.98
Orange Maroc,Direction,Usage standard,Premium,7000,88.0,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9502
Maroc Telecom,Commercial,Usage basique,Premium,7000,95.0,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9996
Maroc Telecom,Direction,Usage intensif,Milieu de gamme,2500,41.9,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9944
Maroc Telecom,IT,Usage intensif,Entrée de gamme,1200,25.2,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9886
Orange Maroc,RH,Usage intensif,Milieu de gamme,2500,40.4,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9583
inwi,Finance,Usage intensif,Haut de gamme,4500,63.7,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9836
Maroc Telecom,Support,Usage standard,Premium,7000,91.4,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9711
Orange Maroc,Direction,Usage basique,Premium,7000,91.2,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9628
Orange Maroc,Finance,Usage intensif,Haut de gamme,4500,64.1,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9842
Maroc Telecom,Commercial,Usage standard,Entrée de gamme,1200,18.7,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9995
Orange Maroc,Finance,Usage intensif,Premium,7000,95.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9999
Maroc Telecom,Commercial,Usage standard,Entrée de gamme,1200,22.4,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9987
Maroc Telecom,Commercial,Usage basique,Milieu de gamme,2500,42.7,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9755
inwi,Direction,Usage premium,Premium,7000,95.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9997
inwi,Commercial,Usage basique,Entrée de gamme,1200,21.5,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9986
inwi,RH,Usage premium,Milieu de gamme,2500,35.3,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9541
